lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2,weibull.max,weibull.adjust
MO,secchi_max,2007-05-21,2007,141,130.08612437110568,0.9632314949345875,TRUE,FALSE
MO,secchi_max,2008-05-14,2008,135,138.04847528535862,0.9857141788909592,TRUE,FALSE
MO,secchi_max,2009-05-28,2009,148,136.47111304461237,0.9211592514652187,TRUE,FALSE
MO,secchi_max,2010-05-25,2010,145,140.3065329083201,0.9740779935589039,TRUE,FALSE
MO,secchi_max,2011-05-17,2011,137,135.90332614120868,0.8966537476437544,TRUE,FALSE
MO,secchi_max,2012-05-03,2012,124,119.20489999243108,0.8393958293058806,TRUE,TRUE
MO,secchi_max,2013-05-15,2013,135,142.38900020396284,0.9612433372126985,TRUE,FALSE
MO,secchi_max,2014-05-15,2014,135,139.8934913823025,0.9636775104384407,TRUE,FALSE
MO,secchi_max,2015-05-13,2015,133,132.7944017235109,0.9230412151692292,TRUE,FALSE
MO,secchi_max,2016-05-23,2016,144,143.75926993839389,0.8980382084049464,TRUE,FALSE
MO,secchi_max,2017-05-04,2017,124,125.78674142969794,0.9005781617871108,TRUE,FALSE
MO,secchi_max,2018-05-15,2018,135,135.37138335093772,0.9669136680927599,TRUE,FALSE
MO,secchi_max,2019-05-29,2019,149,136.86122481728705,0.9615117232893239,TRUE,FALSE
SP,secchi_max,1982-08-17,1982,229,186.8182641451512,0.7127094593761506,TRUE,FALSE
SP,secchi_max,1983-09-06,1983,249,228.84392361122303,0.7923187518457602,TRUE,FALSE
SP,secchi_max,1984-08-16,1984,229,247.88116590466066,0.9807699214334903,FALSE,TRUE
SP,secchi_max,1985-08-05,1985,217,202.4345644704338,0.7549550692816567,TRUE,FALSE
SP,secchi_max,1986-06-30,1986,181,183.47421314277398,0.8571775696857205,TRUE,FALSE
SP,secchi_max,1987-06-29,1987,180,191.63942427953836,0.8635919770100722,TRUE,FALSE
SP,secchi_max,1988-07-18,1988,200,212.72126632974346,0.536912693808124,TRUE,FALSE
SP,secchi_max,1989-08-21,1989,233,225.5617959346134,0.9019238061992436,TRUE,FALSE
SP,secchi_max,1990-06-26,1990,177,156.3863388270499,0.8259821829333807,TRUE,FALSE
SP,secchi_max,1991-08-12,1991,224,260.5788824038885,0.24839788520964545,TRUE,FALSE
SP,secchi_max,1992-06-15,1992,167,167.48858250116976,0.9173777481086248,TRUE,FALSE
SP,secchi_max,1993-08-23,1993,235,232.8580902404019,0.8796289417062196,TRUE,FALSE
SP,secchi_max,1994-09-06,1994,249,257.1637073845746,0.6925013457513778,TRUE,FALSE
SP,secchi_max,1995-09-06,1995,249,235.92851881249211,0.6740685933497744,TRUE,FALSE
SP,secchi_max,1996-09-05,1996,249,278.77134954729826,0.7262323037380911,TRUE,FALSE
SP,secchi_max,1997-07-29,1997,210,222.666755830539,0.7384337743917815,TRUE,FALSE
SP,secchi_max,1998-08-12,1998,224,180.2105636566181,0.7905258241377906,TRUE,FALSE
SP,secchi_max,1999-07-28,1999,209,182.06261497347657,0.73300280150719,TRUE,FALSE
SP,secchi_max,2000-10-03,2000,277,309.62335929601386,0.4456020419834401,FALSE,TRUE
SP,secchi_max,2001-07-24,2001,205,214.45393911403954,0.5608881444078693,TRUE,FALSE
