lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2
BM,ph_surfMax,1992-07-30,1992,212,203,0.8747360466538823
BM,totnf_surfMax,1992-05-05,1992,126,126,0.5847838640622217
BM,totnuf_surfMax,1992-05-05,1992,126,126,0.6587144250934733
BM,totpuf_surfMax,1992-05-05,1992,126,126,0.7416720799742536
BM,doc_surfMax,1993-06-28,1993,179,170,0.8296432457606481
BM,drsif_surfMax,1993-07-28,1993,209,211,0.8740006797487854
BM,no3no2_surfMax,1993-05-05,1993,125,125,0.9795880980800599
BM,ph_surfMax,1993-08-26,1993,238,218,0.8971758685400122
BM,totnf_surfMax,1993-06-28,1993,179,314,0.8107951218112679
BM,totnuf_surfMax,1993-11-10,1993,314,314,0.8826468355188367
BM,totpuf_surfMax,1993-11-10,1993,314,-999,-999
BM,doc_surfMax,1994-06-29,1994,180,171,0.391331190187002
BM,drsif_surfMax,1994-09-19,1994,262,254,0.7859993178729143
BM,no3no2_surfMax,1994-05-06,1994,126,126,0.3440945782082021
BM,ph_surfMax,1994-08-26,1994,238,222,0.7292816056087512
BM,totnf_surfMax,1994-11-14,1994,318,318,0.5826736030685224
BM,totnuf_surfMax,1994-11-14,1994,318,-999,-999
BM,totpuf_surfMax,1994-05-06,1994,126,126,0.44249388476014306
BM,doc_surfMax,1995-12-18,1995,352,NA,NA
BM,drsif_surfMax,1995-08-23,1995,235,235,0.9609068269192184
BM,no3no2_surfMax,1995-12-18,1995,352,-999,-999
BM,ph_surfMax,1995-08-23,1995,235,210,0.7614758950572302
BM,totnf_surfMax,1995-12-18,1995,352,344,0.31544064117358595
BM,totnuf_surfMax,1995-12-18,1995,352,348,0.8179670478425023
BM,totpuf_surfMax,1995-10-16,1995,289,296,0.9475211475895047
BM,doc_surfMax,1996-07-10,1996,192,NA,NA
BM,drsif_surfMax,1996-05-15,1996,136,NA,NA
BM,no3no2_surfMax,1996-05-15,1996,136,NA,NA
BM,ph_surfMax,1996-09-03,1996,247,NA,NA
BM,totnf_surfMax,1996-05-15,1996,136,NA,NA
BM,totnuf_surfMax,1996-05-15,1996,136,NA,NA
BM,totpuf_surfMax,1996-05-15,1996,136,NA,NA
BM,doc_surfMax,1997-11-12,1997,316,NA,NA
BM,drsif_surfMax,1997-10-22,1997,295,253,0.7525631080358912
BM,no3no2_surfMax,1997-05-06,1997,126,126,0.9597567617098036
BM,ph_surfMax,1997-06-30,1997,181,NA,NA
BM,totnf_surfMax,1997-06-02,1997,153,-999,-999
BM,totnuf_surfMax,1997-05-06,1997,126,126,0.37180429845535734
BM,totpuf_surfMax,1997-05-06,1997,126,-999,-999
BM,doc_surfMax,1998-09-08,1998,251,240,0.8071765163955973
BM,drsif_surfMax,1998-08-11,1998,223,221,0.5504838373284824
BM,no3no2_surfMax,1998-04-23,1998,113,113,0.9743181678371114
BM,ph_surfMax,1998-06-18,1998,169,184,0.8432307134226246
BM,totnf_surfMax,1998-04-23,1998,113,-999,-999
BM,totnuf_surfMax,1998-04-23,1998,113,115,0.6279854384314969
BM,totpuf_surfMax,1998-11-02,1998,306,-999,-999
BM,doc_surfMax,1999-06-28,1999,179,171,0.6172127446753783
BM,drsif_surfMax,1999-07-27,1999,208,212,0.7812193828692365
BM,no3no2_surfMax,1999-08-27,1999,239,239,0.9832997556539617
BM,ph_surfMax,1999-08-27,1999,239,198,0.7483837886276922
BM,totnf_surfMax,1999-06-01,1999,152,-999,-999
BM,totnuf_surfMax,1999-06-01,1999,152,144,0.5055272901218755
BM,totpuf_surfMax,1999-11-11,1999,315,-999,-999
BM,doc_surfMax,2000-09-20,2000,264,253,0.6780693058340638
BM,drsif_surfMax,2000-07-24,2000,206,196,0.5904286352778702
BM,no3no2_surfMax,2000-04-05,2000,96,96,0.9555863894825724
BM,ph_surfMax,2000-07-24,2000,206,190,0.7676161563038998
BM,totnf_surfMax,2000-11-14,2000,319,96,0.09205984460525984
BM,totnuf_surfMax,2000-11-14,2000,319,-999,-999
BM,totpuf_surfMax,2000-08-24,2000,237,234,0.739114831182538
BM,doc_surfMax,2001-09-17,2001,260,124,0.1526034005002318
BM,drsif_surfMax,2001-05-31,2001,151,144,0.6951823542811157
BM,no3no2_surfMax,2001-05-04,2001,124,124,0.7192446604676748
BM,ph_surfMax,2001-08-21,2001,233,199,0.8486280654304671
BM,totnf_surfMax,2001-06-27,2001,178,174,0.9230361364246039
BM,totnuf_surfMax,2001-06-27,2001,178,159,0.4821946218258033
BM,totpuf_surfMax,2001-05-04,2001,124,124,0.7529279293319091
BM,doc_surfMax,2002-09-09,2002,252,217,0.715316221426346
BM,drsif_surfMax,2002-08-12,2002,224,210,0.8582724426339341
BM,no3no2_surfMax,2002-04-24,2002,114,114,0.9851086592909304
BM,ph_surfMax,2002-06-18,2002,169,194,0.8898012691637301
BM,totnf_surfMax,2002-04-24,2002,114,114,0.31787579721059755
BM,totnuf_surfMax,2002-04-24,2002,114,132,0.5219703192757698
BM,totpuf_surfMax,2002-04-24,2002,114,114,0.7696467537890375
BM,doc_surfMax,2003-11-10,2003,314,212,0.060827705300774415
BM,drsif_surfMax,2003-09-17,2003,260,236,0.808369786433149
BM,no3no2_surfMax,2003-04-30,2003,120,NA,NA
BM,ph_surfMax,2003-07-23,2003,204,198,0.974593259526426
BM,totnf_surfMax,2003-04-30,2003,120,120,0.7267101180866086
BM,totnuf_surfMax,2003-04-30,2003,120,120,0.7889663270326872
BM,totpuf_surfMax,2003-07-23,2003,204,203,0.9766152173922962
BM,doc_surfMax,2004-06-22,2004,174,313,0.2849080254259544
BM,drsif_surfMax,2004-08-17,2004,230,231,0.5672539853767513
BM,no3no2_surfMax,2004-04-29,2004,120,120,0.9244003341846013
BM,ph_surfMax,2004-07-19,2004,201,205,0.9256471775683361
BM,totnf_surfMax,2004-05-25,2004,146,-999,-999
BM,totnuf_surfMax,2004-04-29,2004,120,146,0.63609685017119
BM,totpuf_surfMax,2004-04-29,2004,120,120,0.4892427849740182
BM,doc_surfMax,2005-07-12,2005,193,172,0.9187264994975594
BM,drsif_surfMax,2005-09-09,2005,252,241,0.9195538031206353
BM,no3no2_surfMax,2005-04-22,2005,112,112,0.9775745189972819
BM,ph_surfMax,2005-08-10,2005,222,195,0.8876574999013771
BM,totnf_surfMax,2005-08-10,2005,222,226,0.8625918044389579
BM,totnuf_surfMax,2005-08-10,2005,222,218,0.5736419877245564
BM,totpuf_surfMax,2005-04-22,2005,112,112,0.8043278321939151
BM,doc_surfMax,2006-08-07,2006,219,NA,NA
BM,drsif_surfMax,2006-07-10,2006,191,199,0.9224590300630858
BM,no3no2_surfMax,2006-04-24,2006,114,114,0.9807338493248692
BM,ph_surfMax,2006-09-05,2006,248,216,0.7133802756821047
BM,totnf_surfMax,2006-09-05,2006,248,246,0.6523137784684319
BM,totnuf_surfMax,2006-05-19,2006,139,138,0.7627766563324659
BM,totpuf_surfMax,2006-04-24,2006,114,114,0.5295428606380267
BM,doc_surfMax,2007-10-08,2007,281,235,0.767308152363597
BM,drsif_surfMax,2007-06-20,2007,171,-999,-999
BM,no3no2_surfMax,2007-04-25,2007,115,115,0.9468162220479296
BM,ph_surfMax,2007-08-15,2007,227,195,0.9330810576611048
BM,totnf_surfMax,2007-11-09,2007,313,299,0.8975188067876778
BM,totnuf_surfMax,2007-11-09,2007,313,-999,-999
BM,totpuf_surfMax,2007-09-11,2007,254,261,0.9019098570291835
BM,doc_surfMax,2008-07-30,2008,212,NA,NA
BM,drsif_surfMax,2008-07-30,2008,212,207,0.9424246618407592
BM,no3no2_surfMax,2008-05-09,2008,130,NA,NA
