lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2
WI,iceoff,2015-03-21,2015,80,NA,NA
WI,iceoff,2016-03-08,2016,68,NA,NA
WI,iceoff,2017-02-27,2017,58,NA,NA
WI,iceoff,2018-03-24,2018,83,NA,NA
WI,iceoff,2019-03-28,2019,87,NA,NA
WI,iceoff,2020-03-12,2020,72,NA,NA
FI,iceoff,1992-03-16,1992,76,NA,NA
FI,iceoff,1993-04-11,1993,101,NA,NA
FI,iceoff,1994-03-31,1994,90,NA,NA
FI,iceoff,1995-03-31,1995,90,NA,NA
FI,iceoff,1996-03-24,1996,84,NA,NA
FI,iceoff,1997-03-26,1997,85,NA,NA
FI,iceoff,1998-02-27,1998,58,NA,NA
FI,iceoff,1999-03-10,1999,69,NA,NA
FI,iceoff,2000-03-06,2000,66,NA,NA
FI,iceoff,2001-03-31,2001,90,NA,NA
FI,iceoff,2002-02-26,2002,57,NA,NA
FI,iceoff,2003-03-22,2003,81,NA,NA
FI,iceoff,2004-03-20,2004,80,NA,NA
FI,iceoff,2005-03-31,2005,90,NA,NA
FI,iceoff,2006-03-12,2006,71,NA,NA
FI,iceoff,2007-03-26,2007,85,NA,NA
FI,iceoff,2008-04-07,2008,98,NA,NA
FI,iceoff,2009-03-24,2009,83,NA,NA
FI,iceoff,2010-03-25,2010,84,NA,NA
FI,iceoff,2011-04-03,2011,93,NA,NA
FI,iceoff,2012-03-12,2012,72,NA,NA
FI,iceoff,2013-04-11,2013,101,NA,NA
FI,iceoff,2014-04-10,2014,100,NA,NA
FI,iceoff,2015-04-02,2015,92,NA,NA
FI,iceoff,2016-03-13,2016,73,NA,NA
FI,iceoff,2017-03-07,2017,66,NA,NA
FI,iceoff,2018-03-29,2018,88,NA,NA
FI,iceoff,2019-03-31,2019,90,NA,NA
FI,iceoff,2020-03-20,2020,80,NA,NA
AL,iceon,1981-12-09,1981,343,NA,NA
AL,iceon,1982-11-22,1982,326,NA,NA
AL,iceon,1983-11-28,1983,332,NA,NA
AL,iceon,1984-11-09,1984,314,NA,NA
AL,iceon,1985-11-25,1985,329,NA,NA
AL,iceon,1986-11-14,1986,318,NA,NA
AL,iceon,1987-11-23,1987,327,NA,NA
AL,iceon,1988-11-30,1988,335,NA,NA
AL,iceon,1989-11-22,1989,326,NA,NA
AL,iceon,1990-12-03,1990,337,NA,NA
AL,iceon,1991-11-08,1991,312,NA,NA
AL,iceon,1992-11-16,1992,321,NA,NA
AL,iceon,1993-11-29,1993,333,NA,NA
AL,iceon,1994-11-26,1994,330,NA,NA
AL,iceon,1995-11-09,1995,313,NA,NA
AL,iceon,1996-11-14,1996,319,NA,NA
AL,iceon,1997-11-17,1997,321,NA,NA
AL,iceon,1998-12-11,1998,345,NA,NA
